WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.1,-79.24,54.0,70,40,10.29,scattered clouds
1,Khatanga,RU,71.97,102.5,22.55,97,100,17.6,overcast clouds
2,Vaini,TO,-21.2,-175.2,71.6,100,90,12.75,light intensity shower rain
3,Atuona,PF,-9.8,-139.03,77.05,75,0,19.73,clear sky
4,Bluff,NZ,-46.6,168.33,44.01,97,89,8.72,overcast clouds
5,Portland,US,45.52,-122.68,59.0,87,90,6.93,overcast clouds
6,Celestun,MX,20.87,-90.4,79.59,84,100,24.7,moderate rain
7,Wadi Musa,JO,30.32,35.48,68.47,46,0,8.7,clear sky
8,Torbay,CA,47.67,-52.73,53.01,76,75,14.99,broken clouds
9,Travnik,BA,44.23,17.67,77.0,31,0,8.05,clear sky
10,Darnah,LY,32.77,22.64,88.07,39,0,4.92,clear sky
11,Punta Arenas,CL,-53.15,-70.92,50.0,61,75,25.28,broken clouds
12,Hilo,US,19.73,-155.09,70.0,56,1,8.05,clear sky
13,Kapaa,US,22.08,-159.32,80.6,74,75,9.17,broken clouds
14,Udarnyy,RU,54.34,42.86,53.49,72,25,6.29,scattered clouds
15,Port Alfred,ZA,-33.59,26.89,68.79,77,4,24.74,clear sky
16,Beltinci,SI,46.61,16.24,70.0,77,75,6.93,broken clouds
17,Chernyshevskiy,RU,63.01,112.47,35.71,99,100,8.34,light rain
18,Geraldton,AU,-28.77,114.6,55.4,66,0,12.75,clear sky
19,Maputo,MZ,-25.97,32.59,77.0,78,20,11.41,few clouds
20,Dikson,RU,73.51,80.55,35.91,97,100,23.02,overcast clouds
21,Taltal,CL,-25.4,-70.48,64.83,51,19,6.8,few clouds
22,Nhulunbuy,AU,-12.23,136.77,77.0,83,1,6.93,clear sky
23,Hobart,AU,-42.88,147.33,46.4,87,75,13.87,light rain
24,Bethel,US,41.37,-73.41,60.01,71,1,3.36,clear sky
25,Jacareacanga,BR,-6.22,-57.75,89.19,64,100,3.67,moderate rain
26,Busselton,AU,-33.65,115.33,46.0,82,0,11.52,clear sky
27,Ushuaia,AR,-54.8,-68.3,51.8,53,75,19.46,broken clouds
28,Katsuura,JP,35.13,140.3,73.4,83,75,11.41,broken clouds
29,Kodiak,US,57.79,-152.41,48.2,87,90,18.34,light rain
30,Castro,BR,-24.79,-50.01,74.34,58,36,11.45,scattered clouds
31,Kaitangata,NZ,-46.28,169.85,45.0,90,72,3.47,broken clouds
32,Ixtapa,MX,20.7,-105.2,79.0,78,5,9.17,clear sky
33,Hermanus,ZA,-34.42,19.23,71.01,58,9,4.0,clear sky
34,Baruun-Urt,MN,46.68,113.28,31.46,83,0,6.22,clear sky
35,Narsaq,GL,60.92,-46.05,35.6,59,9,2.24,clear sky
36,Salalah,OM,17.02,54.09,80.6,83,0,8.05,clear sky
37,Yellowknife,CA,62.46,-114.35,39.0,100,92,10.29,fog
38,Novoselytsya,UA,48.22,26.27,75.0,66,58,3.0,broken clouds
39,Tonantins,BR,-2.87,-67.8,89.67,62,40,1.83,scattered clouds
40,Pevek,RU,69.7,170.31,32.13,92,89,12.19,overcast clouds
41,Cape Town,ZA,-33.93,18.42,71.6,53,20,10.29,few clouds
42,Rikitea,PF,-23.12,-134.97,72.84,78,1,15.99,clear sky
43,Qaanaaq,GL,77.48,-69.36,19.53,88,0,3.11,clear sky
44,Saint George,US,37.1,-113.58,57.2,14,1,3.15,clear sky
45,Mataura,NZ,-46.19,168.86,44.01,97,70,4.41,broken clouds
46,Saldanha,ZA,-33.01,17.94,69.8,52,0,10.29,clear sky
47,Ola,RU,59.58,151.28,41.34,83,9,4.36,clear sky
48,Laramie,US,41.31,-105.59,54.0,51,90,8.05,haze
49,Longyearbyen,SJ,78.22,15.64,35.6,93,75,2.24,light intensity drizzle
50,Unai,BR,-16.36,-46.91,101.82,10,0,10.09,clear sky
51,Lebu,CL,-37.62,-73.65,51.78,68,0,4.61,clear sky
52,Klaksvik,FO,62.23,-6.59,55.4,87,100,3.36,overcast clouds
53,Port Elizabeth,ZA,-33.92,25.57,66.2,88,20,18.34,few clouds
54,Coihaique,CL,-45.58,-72.07,51.8,34,0,5.82,clear sky
55,San Cristobal,VE,7.77,-72.22,84.2,62,40,11.41,scattered clouds
56,Arraial Do Cabo,BR,-22.97,-42.03,75.2,78,90,13.87,overcast clouds
57,Samarai,PG,-10.62,150.67,78.48,85,98,19.22,light rain
58,Port Macquarie,AU,-31.43,152.92,57.99,88,0,16.33,clear sky
59,Foggia,IT,41.45,15.53,80.6,27,0,13.87,clear sky
60,Denpasar,ID,-8.65,115.22,80.6,100,75,13.87,broken clouds
61,Acajutla,SV,13.59,-89.83,73.4,100,100,5.64,overcast clouds
62,Nome,US,64.5,-165.41,41.0,86,90,9.17,light rain
63,Albany,US,42.6,-73.97,60.01,100,75,3.36,fog
64,Vuktyl,RU,63.86,57.31,32.5,92,62,4.16,broken clouds
65,Provideniya,RU,64.38,-173.3,32.81,90,2,7.45,clear sky
66,Dawei,MM,14.08,98.2,77.31,88,100,2.17,heavy intensity rain
67,Swellendam,ZA,-34.02,20.44,68.0,68,6,13.87,clear sky
68,Mahebourg,MU,-20.41,57.7,75.2,78,40,6.93,scattered clouds
69,Svetlogorsk,BY,52.63,29.73,66.54,63,85,15.21,overcast clouds
70,Mar Del Plata,AR,-38.0,-57.56,50.0,71,75,12.75,broken clouds
71,Saint-Philippe,RE,-21.36,55.77,73.4,78,90,13.87,overcast clouds
72,Airai,TL,-8.93,125.41,58.57,79,63,1.92,broken clouds
73,Bredasdorp,ZA,-34.53,20.04,68.0,68,5,13.87,clear sky
74,Kavieng,PG,-2.57,150.8,83.84,72,85,14.27,overcast clouds
75,Scarborough,GB,54.28,-0.4,57.0,84,79,1.99,broken clouds
76,Butaritari,KI,3.07,172.79,77.52,81,100,2.82,overcast clouds
77,Ulaanbaatar,MN,47.91,106.88,19.4,79,0,2.24,clear sky
78,Harper,LR,4.38,-7.72,80.85,73,55,10.74,broken clouds
79,Quelimane,MZ,-17.88,36.89,78.4,73,0,10.07,clear sky
80,Avarua,CK,-21.21,-159.78,73.4,78,100,8.05,light rain
81,Ribeira Grande,PT,38.52,-28.7,75.2,64,75,13.87,broken clouds
82,Waipawa,NZ,-41.41,175.52,57.2,82,17,19.46,few clouds
83,Jiayuguan,CN,39.82,98.3,44.44,49,100,4.54,overcast clouds
